season,round,datetime,venue,for_team,for_is_home,for_goals1,for_behinds1,for_goals2,for_behinds2,for_goals3,for_behinds3,for_goals4,for_behinds4,for_total_score,for_match_points,for_is_win,for_is_draw,for_is_loss,against_team,against_is_home,against_goals1,against_behinds1,against_goals2,against_behinds2,against_goals3,against_behinds3,against_goals4,against_behinds4,against_total_score,against_match_points,against_is_win,against_is_draw,against_is_loss,edge_type,for_total_goals,for_total_behinds,against_total_goals,against_total_behinds
2000,R20,Sat 22-Jul-2000 7:40 PM,Docklands,Collingwood,True,2,3,2,3,4,5,5,2,91,0,False,False,True,Western Bulldogs,False,3,2,6,3,5,4,1,1,100,4,True,False,False,lost-to,13,13,15,10
2000,R20,Sun 23-Jul-2000 1:40 PM,Football Park,Adelaide,True,2,3,3,5,1,3,5,1,78,0,False,False,True,Brisbane Lions,False,4,5,3,2,6,1,4,5,115,4,True,False,False,lost-to,11,12,17,13
2000,R20,Sun 23-Jul-2000 2:10 PM,M.C.G.,Richmond,True,5,4,5,2,7,2,1,3,119,4,True,False,False,St Kilda,False,4,1,1,2,1,4,6,0,79,0,False,False,True,defeated,18,11,12,7
2000,R20,Sun 23-Jul-2000 2:10 PM,Docklands,Fremantle,False,2,2,2,3,4,2,3,4,77,0,False,False,True,Melbourne,True,8,2,4,2,8,3,5,3,160,4,True,False,False,lost-to,11,11,25,10
2000,R21,Fri 28-Jul-2000 7:40 PM,Docklands,Essendon,True,3,2,4,1,4,4,1,2,81,0,False,False,True,Western Bulldogs,False,4,1,3,2,2,1,5,4,92,4,True,False,False,lost-to,12,9,14,8
2000,R21,Sat 29-Jul-2000 2:10 PM,M.C.G.,Adelaide,False,3,4,1,5,2,1,3,3,67,0,False,False,True,Hawthorn,True,4,1,5,2,3,3,3,2,98,4,True,False,False,lost-to,9,13,15,8
2000,R21,Sat 29-Jul-2000 2:10 PM,Docklands,Richmond,True,2,4,4,2,4,2,2,3,83,0,False,False,True,Sydney,False,5,2,2,5,3,3,2,2,84,4,True,False,False,lost-to,12,11,12,12
2000,R21,Sat 29-Jul-2000 7:40 PM,Gabba,Brisbane Lions,True,3,1,8,2,6,7,6,5,153,4,True,False,False,St Kilda,False,4,5,2,3,2,1,0,6,63,0,False,False,True,defeated,23,15,8,15
2000,R21,Sun 30-Jul-2000 1:20 PM,Subiaco,Fremantle,True,1,3,3,1,5,4,6,3,101,4,True,False,False,West Coast,False,5,2,4,4,3,2,3,2,100,0,False,False,True,defeated,15,11,15,10
2000,R21,Sun 30-Jul-2000 1:40 PM,Football Park,Carlton,False,2,2,7,2,1,3,2,4,83,0,False,False,True,Port Adelaide,True,5,5,3,3,1,4,3,4,88,4,True,False,False,lost-to,12,11,12,16
2000,R21,Sun 30-Jul-2000 2:10 PM,Docklands,Collingwood,False,3,4,4,4,2,3,5,3,98,4,True,False,False,Kangaroos,True,4,2,3,3,3,7,1,2,80,0,False,False,True,defeated,14,14,11,14
2000,R21,Sun 30-Jul-2000 2:10 PM,M.C.G.,Geelong,False,4,0,7,4,2,1,4,1,108,0,False,False,True,Melbourne,True,3,4,6,4,4,8,5,2,126,4,True,False,False,lost-to,17,6,18,18
2000,R22,Fri 04-Aug-2000 7:40 PM,Docklands,Hawthorn,False,3,3,4,5,3,3,1,4,81,4,True,False,False,Western Bulldogs,True,3,2,2,1,2,5,2,4,66,0,False,False,True,defeated,11,15,9,12
2000,R22,Sat 05-Aug-2000 2:10 PM,Kardinia Park,Geelong,True,5,6,6,2,5,5,2,3,124,4,True,False,False,Sydney,False,5,3,6,2,4,4,3,3,120,0,False,False,True,defeated,18,16,18,12
2000,R22,Sat 05-Aug-2000 2:10 PM,M.C.G.,Collingwood,False,4,0,3,6,1,5,3,1,78,0,False,False,True,Essendon,True,2,2,2,4,4,6,5,7,97,4,True,False,False,lost-to,11,12,13,19
2000,R22,Sat 05-Aug-2000 7:40 PM,Gabba,Brisbane Lions,True,5,4,5,6,6,6,7,2,156,4,True,False,False,Fremantle,False,2,2,3,2,1,0,1,3,49,0,False,False,True,defeated,23,18,7,7
2000,R22,Sat 05-Aug-2000 7:40 PM,Docklands,Kangaroos,True,5,0,1,1,5,7,7,4,120,4,True,False,False,St Kilda,False,3,4,4,6,1,4,2,3,77,0,False,False,True,defeated,18,12,10,17
2000,R22,Sun 06-Aug-2000 12:10 PM,Football Park,Adelaide,True,1,1,7,4,4,3,2,0,92,0,False,False,True,Port Adelaide,False,9,6,1,5,3,5,7,3,139,4,True,False,False,lost-to,14,8,20,19
2000,R22,Sun 06-Aug-2000 1:10 PM,Subiaco,Melbourne,False,4,4,9,1,6,4,7,5,170,4,True,False,False,West Coast,True,5,1,3,2,2,3,5,4,100,0,False,False,True,defeated,26,14,15,10
2000,R22,Sun 06-Aug-2000 2:10 PM,M.C.G.,Carlton,True,4,1,2,4,7,2,6,4,125,4,True,False,False,Richmond,False,2,3,2,2,2,5,1,0,52,0,False,False,True,defeated,19,11,7,10
2000,EF,Fri 11-Aug-2000 7:45 PM,Docklands,Geelong,False,3,4,3,1,3,4,3,2,83,0,False,False,True,Hawthorn,False,4,2,2,1,5,2,3,3,92,4,True,False,False,lost-to,12,11,14,8
2000,QF,Sat 12-Aug-2000 2:30 PM,M.C.G.,Essendon,False,9,1,6,5,10,3,6,3,198,4,True,False,False,Kangaroos,False,4,2,2,1,3,1,2,3,73,0,False,False,True,defeated,31,12,11,7
2000,EF,Sat 12-Aug-2000 7:45 PM,Gabba,Brisbane Lions,False,3,6,4,4,4,5,4,5,110,4,True,False,False,Western Bulldogs,False,3,3,2,4,2,6,3,3,76,0,False,False,True,defeated,15,20,10,16
2000,QF,Sun 13-Aug-2000 2:30 PM,M.C.G.,Carlton,False,4,4,4,4,2,6,2,1,87,0,False,False,True,Melbourne,False,3,4,3,0,2,1,7,1,96,4,True,False,False,lost-to,12,15,15,6
2000,SF,Fri 18-Aug-2000 7:45 PM,M.C.G.,Hawthorn,False,2,2,3,1,4,4,6,3,100,0,False,False,True,Kangaroos,False,6,1,4,6,2,4,4,3,110,4,True,False,False,lost-to,15,10,16,14
2000,SF,Sat 19-Aug-2000 2:30 PM,M.C.G.,Brisbane Lions,False,3,1,1,3,5,0,1,5,69,0,False,False,True,Carlton,False,3,3,7,2,8,4,5,4,151,4,True,False,False,lost-to,10,9,23,13
2000,PF,Fri 25-Aug-2000 7:45 PM,M.C.G.,Kangaroos,False,5,1,4,0,1,3,7,0,106,0,False,False,True,Melbourne,False,6,5,8,5,4,4,5,4,156,4,True,False,False,lost-to,17,4,23,18
2000,PF,Sat 26-Aug-2000 2:30 PM,M.C.G.,Carlton,False,2,3,3,1,1,3,6,1,80,0,False,False,True,Essendon,False,4,2,4,5,6,6,4,4,125,4,True,False,False,lost-to,12,8,18,17
2000,GF,Sat 02-Sep-2000 2:45 PM,M.C.G.,Essendon,False,4,8,6,8,6,1,3,4,135,4,True,False,False,Melbourne,False,3,3,2,2,3,3,3,1,75,0,False,False,True,defeated,19,21,11,9
2001,R1,Fri 30-Mar-2001 7:40 PM,M.C.G.,Essendon,False,7,2,2,3,6,1,8,2,146,4,True,False,False,Kangaroos,True,3,1,1,2,2,3,3,1,61,0,False,False,True,defeated,23,8,9,7
2001,R1,Sat 31-Mar-2001 2:10 PM,M.C.G.,Collingwood,False,4,3,2,5,2,7,3,0,81,0,False,False,True,Hawthorn,True,3,1,5,2,4,2,1,2,85,4,True,False,False,lost-to,11,15,13,7
2001,R1,Sat 31-Mar-2001 5:40 PM,Subiaco,Carlton,False,3,3,2,2,7,1,6,5,119,4,True,False,False,Fremantle,True,3,3,7,4,3,1,5,2,118,0,False,False,True,defeated,18,11,18,10
2001,R1,Sat 31-Mar-2001 7:00 PM,Docklands,St Kilda,False,5,5,4,1,6,5,1,5,112,4,True,False,False,Western Bulldogs,True,2,4,8,2,4,3,2,2,107,0,False,False,True,defeated,16,16,16,11
2001,R1,Sat 31-Mar-2001 7:10 PM,Football Park,Brisbane Lions,False,3,3,4,2,4,0,3,4,93,0,False,False,True,Port Adelaide,True,0,3,3,4,10,5,1,3,99,4,True,False,False,lost-to,14,9,14,15
