season,team,teams,games,wins,draws,losses,wins_ratio,points_for,points_against,points_ratio,goals_for,behinds_for,accuracy_for,goals_against,behinds_against,accuracy_against,goals_ratio,behinds_ratio,rank,rank_score,coarse_rank,wins_prestige,adj_wins_prestige,points_prestige,adj_points_prestige
1990,Brisbane Bears,14,22,4,0,18,0.18181818181818182,1733,2426,0.4166867035345035,247,251,0.4959839357429719,348,338,0.5072886297376094,0.4151260504201681,0.42614601018675724,14,0.0,4,0.0037739484868577772,0.046935733829180745,0.04903024640960237,0.40128939078428083
1990,Carlton,14,22,11,0,11,0.5,2277,2187,0.5100806451612904,335,267,0.5564784053156147,312,315,0.49760765550239233,0.517774343122102,0.4587628865979381,8,0.46153846153846145,3,0.05550821064547336,0.4331116835974436,0.0733330149401014,0.5070910274859212
1990,Collingwood,14,26,19,1,6,0.75,2798,2077,0.5739487179487179,404,374,0.519280205655527,294,313,0.4843492586490939,0.5787965616045845,0.5443959243085881,1,1.0,1,0.2324181831140389,0.7974193374370545,0.09669552505161731,0.5818705201617953
1990,Essendon,14,25,18,0,7,0.72,2742,2079,0.5687616677037959,396,366,0.5196850393700787,297,297,0.5,0.5714285714285714,0.5520361990950227,2,0.9230769230769231,1,0.17283656442717185,0.7309196478573801,0.09617027513932447,0.5804031775224043
1990,Fitzroy,14,22,7,0,15,0.3181818181818182,1874,2389,0.439596528266479,264,290,0.47653429602888087,345,319,0.5195783132530121,0.43349753694581283,0.47619047619047616,12,0.15384615384615374,4,0.019411686275972305,0.2046749017999639,0.057673547149601725,0.4430966479419181
1990,Footscray,14,22,12,0,10,0.5454545454545454,2016,2031,0.4981467753891772,287,294,0.4939759036144578,290,291,0.4991394148020654,0.49740034662045063,0.5025641025641026,7,0.5384615384615384,2,0.05345279475608509,0.42334113208641805,0.06901251351034704,0.4907488970118736
1990,Geelong,14,22,8,0,14,0.36363636363636365,2248,2398,0.48385708136030997,320,328,0.49382716049382713,349,304,0.5344563552833078,0.47832585949177875,0.5189873417721519,10,0.3076923076923077,3,0.035746145284617316,0.32520289116519935,0.0663172459462297,0.4800762112267133
1990,Hawthorn,14,23,14,0,9,0.6086956521739131,2478,2075,0.5442565341533055,362,306,0.5419161676646707,299,281,0.5155172413793103,0.5476550680786687,0.5212947189097104,5,0.6923076923076923,2,0.07815672988326178,0.5243034092649116,0.0810223315370513,0.5340503022374882
1990,Melbourne,14,24,17,0,7,0.7083333333333334,2512,2260,0.5264040234702431,369,298,0.553223388305847,326,304,0.5174603174603175,0.5309352517985612,0.4950166112956811,4,0.7692307692307692,1,0.11906336744651096,0.6372896111287067,0.07542085521759642,0.5146694221520806
1990,North Melbourne,14,22,12,0,10,0.5454545454545454,2519,2210,0.5326707549164729,365,329,0.5259365994236311,316,314,0.5015873015873016,0.5359765051395007,0.5116640746500778,6,0.6153846153846154,2,0.05619351527480034,0.4363053335013708,0.0805252834011304,0.5323841090757236
